,# assembly_accession,taxid,species_taxid,organism_name,infraspecific_name,assembly_level,genome_rep,ftp_path,sp,aKey,oKey
84259,GCF_002285715.1,701042,701042,Mycobacterium marseillense,strain=FLAC0026,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/715/GCF_002285715.1_ASM228571v1,Mycobacterium_marseillense,0,1
85325,GCF_002356315.1,722731,722731,Mycobacterium shigaense,strain=JCM 32072,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/315/GCF_002356315.1_ASM235631v1,Mycobacterium_shigaense,0,1
114772,GCF_003584745.1,1136880,265949,Mycobacterium pseudoshottsii JCM 15466,strain=JCM 15466,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/745/GCF_003584745.1_ASM358474v1,Mycobacterium_pseudoshottsii,0,1
115734,GCF_003614435.1,1389713,1389713,Mycobacterium paragordonae,strain=49061,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/435/GCF_003614435.1_ASM361443v1,Mycobacterium_paragordonae,0,1
131926,GCF_004924335.1,404941,404941,Mycobacteroides salmoniphilum,strain=DSM 43276,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/335/GCF_004924335.1_ASM492433v1,Mycobacteroides_salmoniphilum,0,1
134552,GCF_005670685.2,1226753,56689,Mycolicibacterium mucogenicum DSM 44124,strain=DSM 44124,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/670/685/GCF_005670685.2_ASM567068v2,Mycolicibacterium_mucogenicum,0,1
143249,GCF_008329645.1,1552759,1552759,Mycobacterium grossiae,strain=DSM 104744,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/645/GCF_008329645.1_ASM832964v1,Mycobacterium_grossiae,0,1
154099,GCF_009931355.1,1226751,85693,Mycolicibacterium monacense DSM 44395,strain=DSM 44395,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/355/GCF_009931355.1_ASM993135v1,Mycolicibacterium_monacense,0,1
154313,GCF_009936235.1,1789,1789,Mycobacterium xenopi,strain=JCM 15661,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/936/235/GCF_009936235.1_ASM993623v1,Mycobacterium_xenopi,0,1
155607,GCF_010725485.1,39692,39692,Mycolicibacterium parafortuitum,strain=JCM 6367,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/485/GCF_010725485.1_ASM1072548v1,Mycolicibacterium_parafortuitum,0,1
155608,GCF_010725725.1,36813,36813,Mycolicibacterium pulveris,strain=JCM 6370,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/725/GCF_010725725.1_ASM1072572v1,Mycolicibacterium_pulveris,0,1
155609,GCF_010725885.1,39695,39695,Mycolicibacterium tokaiense,strain=JCM 6373,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/885/GCF_010725885.1_ASM1072588v1,Mycolicibacterium_tokaiense,0,1
155610,GCF_010726085.1,39691,39691,Mycolicibacterium moriokaense,strain=JCM 6375,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/085/GCF_010726085.1_ASM1072608v1,Mycolicibacterium_moriokaense,0,1
155611,GCF_010726245.1,1799,1799,Mycolicibacterium aichiense,strain=JCM 6376,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/245/GCF_010726245.1_ASM1072624v1,Mycolicibacterium_aichiense,0,1
155613,GCF_010726505.1,2492438,2492438,Mycobacterium novum,strain=JCM 6391,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/505/GCF_010726505.1_ASM1072650v1,Mycobacterium_novum,0,1
155614,GCF_010726645.1,39688,39688,Mycolicibacterium duvalii,strain=JCM 6396,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/645/GCF_010726645.1_ASM1072664v1,Mycolicibacterium_duvalii,0,1
155615,GCF_010726955.1,1793,1793,Mycolicibacterium fallax,strain=JCM 6405,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/955/GCF_010726955.1_ASM1072695v1,Mycolicibacterium_fallax,0,1
155616,GCF_010727125.1,1788,1788,Mycolicibacter terrae,strain=JCM 12143,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/125/GCF_010727125.1_ASM1072712v1,Mycolicibacter_terrae,0,1
155617,GCF_010727325.1,67081,67081,Mycolicibacterium alvei,strain=JCM 12272,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/325/GCF_010727325.1_ASM1072732v1,Mycolicibacterium_alvei,0,1
155618,GCF_010727475.1,53462,53462,Mycolicibacterium mageritense,strain=JCM 12375,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/475/GCF_010727475.1_ASM1072747v1,Mycolicibacterium_mageritense,0,1
155619,GCF_010727605.1,1784,1784,Mycobacterium simiae,strain=JCM 12377,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/605/GCF_010727605.1_ASM1072760v1,Mycobacterium_simiae,0,1
155620,GCF_010727725.1,1792,1792,Mycolicibacterium chitae,strain=JCM 12403,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/725/GCF_010727725.1_ASM1072772v1,Mycolicibacterium_chitae,0,1
155621,GCF_010727945.1,1775,1775,Mycobacterium cookii,strain=JCM 12404,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/945/GCF_010727945.1_ASM1072794v1,Mycobacterium_cookii,0,1
155622,GCF_010728155.1,126673,126673,Mycolicibacterium doricum,strain=JCM 12405,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/155/GCF_010728155.1_ASM1072815v1,Mycolicibacterium_doricum,0,1
155623,GCF_010728325.1,39694,39694,Mycolicibacterium poriferae,strain=JCM 12603,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/325/GCF_010728325.1_ASM1072832v1,Mycolicibacterium_poriferae,0,1
155624,GCF_010728525.1,133549,133549,Mycobacterium shottsii,strain=JCM 12657,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/525/GCF_010728525.1_ASM1072852v1,Mycobacterium_shottsii,0,1
155625,GCF_010728725.1,43348,43348,Mycobacterium branderi,strain=JCM 12687,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/725/GCF_010728725.1_ASM1072872v1,Mycobacterium_branderi,0,1
155626,GCF_010728925.1,1794,1794,Mycolicibacterium gadium,strain=JCM 12688,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/925/GCF_010728925.1_ASM1072892v1,Mycolicibacterium_gadium,0,1
155627,GCF_010729105.1,220927,220927,Mycobacterium saskatchewanense,strain=JCM 13016,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/105/GCF_010729105.1_ASM1072910v1,Mycobacterium_saskatchewanense,0,1
155628,GCF_010729305.1,216929,216929,Mycolicibacterium psychrotolerans,strain=JCM 13323,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/305/GCF_010729305.1_ASM1072930v1,Mycolicibacterium_psychrotolerans,0,1
155629,GCF_010729485.1,29314,29314,Mycolicibacter hiberniae,strain=JCM 13571,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/485/GCF_010729485.1_ASM1072948v1,Mycolicibacter_hiberniae,0,1
155630,GCF_010729665.1,212765,212765,Mycolicibacterium madagascariense,strain=JCM 13574,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/665/GCF_010729665.1_ASM1072966v1,Mycolicibacterium_madagascariense,0,1
155631,GCF_010729895.1,28047,28047,Mycolicibacterium confluentis,strain=JCM 13671,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/895/GCF_010729895.1_ASM1072989v1,Mycolicibacterium_confluentis,0,1
155632,GCF_010730055.1,398694,398694,Mycobacterium shinjukuense,strain=JCM 14233,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/055/GCF_010730055.1_ASM1073005v1,Mycobacterium_shinjukuense,0,1
155633,GCF_010730195.1,44010,44010,Mycobacterium conspicuum,strain=JCM 14738,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/195/GCF_010730195.1_ASM1073019v1,Mycobacterium_conspicuum,0,1
155634,GCF_010730355.1,292462,292462,Mycobacterium florentinum,strain=JCM 14740,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/355/GCF_010730355.1_ASM1073035v1,Mycobacterium_florentinum,0,1
155635,GCF_010730575.1,185642,185642,Mycobacterium parmense,strain=JCM 14742,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/575/GCF_010730575.1_ASM1073057v1,Mycobacterium_parmense,0,1
155636,GCF_010730745.1,53376,53376,Mycobacterium heidelbergense,strain=JCM 14842,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/745/GCF_010730745.1_ASM1073074v1,Mycobacterium_heidelbergense,0,1
155637,GCF_010731115.1,319706,319706,Mycolicibacterium phocaicum,strain=JCM 15301,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/115/GCF_010731115.1_ASM1073111v1,Mycolicibacterium_phocaicum,0,1
155638,GCF_010731295.1,146017,146017,Mycolicibacterium boenickei,strain=JCM 15653,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/295/GCF_010731295.1_ASM1073129v1,Mycolicibacterium_boenickei,0,1
155639,GCF_010731535.1,169765,169765,Mycobacterium lacus,strain=JCM 15657,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/535/GCF_010731535.1_ASM1073153v1,Mycobacterium_lacus,0,1
155641,GCF_010731595.1,386911,386911,Mycobacterium seoulense,strain=JCM 16018,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/595/GCF_010731595.1_ASM1073159v1,Mycobacterium_seoulense,0,1
155642,GCF_010731615.1,444597,444597,Mycolicibacterium insubricum,strain=JCM 16366,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/615/GCF_010731615.1_ASM1073161v1,Mycolicibacterium_insubricum,0,1
155643,GCF_010731635.1,459858,459858,Mycobacterium noviomagense,strain=JCM 16367,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/635/GCF_010731635.1_ASM1073163v1,Mycobacterium_noviomagense,0,1
155644,GCF_010731655.1,590652,590652,Mycobacterium paraseoulense,strain=JCM 16952,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/655/GCF_010731655.1_ASM1073165v1,Mycobacterium_paraseoulense,0,1
155646,GCF_010731695.1,758802,758802,Mycolicibacterium litorale,strain=JCM 17423,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/695/GCF_010731695.1_ASM1073169v1,Mycolicibacterium_litorale,0,1
155647,GCF_010731715.1,470076,470076,Mycobacterium stomatepiae,strain=JCM 17783,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/715/GCF_010731715.1_ASM1073171v1,Mycobacterium_stomatepiae,0,1
155648,GCF_010731735.1,1286180,1286180,Mycolicibacterium sediminis,strain=JCM 17899,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/735/GCF_010731735.1_ASM1073173v1,Mycolicibacterium_sediminis,0,1
155649,GCF_010731755.1,1118379,1118379,Mycolicibacter minnesotensis,strain=JCM 17932,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/755/GCF_010731755.1_ASM1073175v1,Mycolicibacter_minnesotensis,0,1
155650,GCF_010731775.1,560555,560555,Mycobacterium mantenii,strain=JCM 18113,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/775/GCF_010731775.1_ASM1073177v1,Mycobacterium_mantenii,0,1
155651,GCF_010731795.1,1249101,1249101,Mycolicibacterium celeriflavum,strain=JCM 18439,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/795/GCF_010731795.1_ASM1073179v1,Mycolicibacterium_celeriflavum,0,1
155652,GCF_010731815.2,1286181,1286181,Mycolicibacterium arabiense,strain=JCM 18538,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/815/GCF_010731815.2_ASM1073181v2,Mycolicibacterium_arabiense,0,1
155653,GCF_010731835.1,1069220,1069220,Mycolicibacillus koreensis,strain=JCM 19956,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/835/GCF_010731835.1_ASM1073183v1,Mycolicibacillus_koreensis,0,1
155654,GCF_010731855.1,1431246,1431246,Mycolicibacterium anyangense,strain=JCM 30275,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/855/GCF_010731855.1_ASM1073185v1,Mycolicibacterium_anyangense,0,1
155655,GCF_010731875.1,1534348,1534348,Mycolicibacterium sarraceniae,strain=JCM 30395,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/875/GCF_010731875.1_ASM1073187v1,Mycolicibacterium_sarraceniae,0,1
155656,GCF_010731895.1,1534349,1534349,Mycolicibacterium helvum,strain=JCM 30396,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/895/GCF_010731895.1_ASM1073189v1,Mycolicibacterium_helvum,0,1
166301,GCF_013466425.1,1719132,1719132,Mycobacterium vicinigordonae,strain=24,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/466/425/GCF_013466425.1_ASM1346642v1,Mycobacterium_vicinigordonae,0,1
178548,GCF_015689175.1,120959,120959,Mycobacterium kubicae,strain=JCM 13573,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/175/GCF_015689175.1_ASM1568917v1,Mycobacterium_kubicae,0,1
178968,GCF_015710575.1,2736649,2736649,Mycolicibacterium mengxianglii,strain=Z-34,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/710/575/GCF_015710575.1_ASM1571057v2,Mycolicibacterium_mengxianglii,0,1
180925,GCF_016313185.1,2761578,2761578,Mycolicibacterium baixiangningiae,strain=LJ126,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/313/185/GCF_016313185.1_ASM1631318v1,Mycolicibacterium_baixiangningiae,0,1
182399,GCF_016592155.1,110505,110505,Mycobacterium heckeshornense,strain=JCM 15655,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/592/155/GCF_016592155.1_ASM1659215v1,Mycobacterium_heckeshornense,0,1
186748,GCF_017086405.1,1778,1778,Mycobacterium gordonae,strain=X7091,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/086/405/GCF_017086405.1_ASM1708640v1,Mycobacterium_gordonae,0,1
192542,GCF_018278905.1,886343,886343,Mycobacterium spongiae,strain=FSD4b-SM,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/278/905/GCF_018278905.1_ASM1827890v1,Mycobacterium_spongiae,0,1
202327,GCF_019456655.1,1801,1801,Mycolicibacterium diernhoferi,strain=ATCC 19340,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/655/GCF_019456655.1_ASM1945665v1,Mycolicibacterium_diernhoferi,0,1
202328,GCF_019456675.1,370524,370524,Mycolicibacterium pallens,strain=JCM 16370,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/675/GCF_019456675.1_ASM1945667v1,Mycolicibacterium_pallens,0,1
202998,GCF_019645815.1,512402,512402,Mycolicibacter heraklionensis,strain=JCM 30995,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/815/GCF_019645815.1_ASM1964581v1,Mycolicibacter_heraklionensis,0,1
202999,GCF_019645835.1,1226752,152142,Mycolicibacterium holsaticum DSM 44478 = JCM 12374,strain=JCM 12374,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/835/GCF_019645835.1_ASM1964583v1,Mycolicibacterium_holsaticum,0,1
203000,GCF_019645855.1,1780,1780,Mycobacterium malmoense,strain=ATCC 29571,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/855/GCF_019645855.1_ASM1964585v1,Mycobacterium_malmoense,0,1
203001,GCF_019645875.1,1796,1796,Mycolicibacterium senegalense,strain=ATCC 35796,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/875/GCF_019645875.1_ASM1964587v1,Mycolicibacterium_senegalense,0,1
203992,GCF_019739075.1,1802,1802,Mycolicibacterium farcinogenes,strain=BKK/CU-MFGFA-001,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/739/075/GCF_019739075.1_ASM1973907v1,Mycolicibacterium_farcinogenes,0,1
214136,GCF_021183725.1,2738409,2738409,Mycobacterium ostraviense,strain=FDAARGOS_1613,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/183/725/GCF_021183725.1_ASM2118372v1,Mycobacterium_ostraviense,0,1
220511,GCF_022370635.2,388459,388459,Mycolicibacterium crocinum,strain=JCM 16369,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/635/GCF_022370635.2_ASM2237063v3,Mycolicibacterium_crocinum,0,1
220512,GCF_022370755.2,134601,134601,Mycolicibacterium goodii,strain=ATCC 700504,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/755/GCF_022370755.2_ASM2237075v2,Mycolicibacterium_goodii,0,1
220513,GCF_022370835.2,1069221,1069221,Mycolicibacillus parakoreensis,strain=DSM 45575,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/835/GCF_022370835.2_ASM2237083v2,Mycolicibacillus_parakoreensis,0,1
220519,GCF_022374875.2,318424,318424,Mycolicibacterium rufum,strain=JCM 16372,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/875/GCF_022374875.2_ASM2237487v3,Mycolicibacterium_rufum,0,1
